1,-121.262884,38.181837,Peirano Estate Vineyards,21831 North Highway 99,,,Acampo,CA,95220,,,,info@peirano.com,
2,-121.24501,38.159983,Woodbridge Winery,5950 East Woodbridge Road,,,Acampo,CA,95220,,,,,http://www.testurl.com
3,-121.23092,38.189138,Macchia,7099 E. Peltier Road,,,Acampo,CA,95220,,,,Info@MacchiaWines.com,
4,-121.294534,38.186463,Century Oak Winery,22211 North Lower Sacramento Road,,,Acampo,CA,95220-9436,,,,adam@centuryoakwinery.com,
5,-122.29135,37.789179,RosenblumCellars,2900 Main Street #1100,,,Alameda,CA,94501,,,,,
6,-122.417269,38.554001,LaJota Winery & Cave,1102 Las Posadas Road,,,Angwin,CA,94508,,,,info@lajotawines.com,
7,-122.456971,38.568494,Ladera Vineyards,150 White Cottage Rd S,,,Angwin,CA,94508,,,,winery@laderavineyards.com,
8,-122.460641,38.59882,Summit Lake Vineyards and Winery,2000 Summit Lake Drive,,,Angwin,CA,94508,,,,info@summitlakevineyards.com,
9,-122.465056,38.56531,Livingston Moffett Winery,340 West Lane,,,Angwin,CA,94508,,,,info@livingstonwines.com ,
10,-122.451087,38.592875,Dunn Vineyards,805 White Cottage Road North,,,Angwin,CA,94508,,,,dunnvineyards@sbcglobal.net,
11,-123.344429,38.718884,Annapolis Winery,26055 Soda Springs Road,,,Annapolis,CA,95412,,,,,
12,-121.893694,36.991994,Salamandre Wine Cellars,108 Don Carlos Drive,,,Aptos,CA,95003,,,,newt@cruzio.com,
13,-120.585841,35.192258,Kynsi Winery,2212 Corbett Canyon Road,,,Arroyo Grande,CA,93420,,,,info@kynsi.com,
14,-120.523603,35.178,Talley Vineyards,3031 Lopez Drive,,,Arroyo Grande,CA,93420,,,,info@talleyvineyards.com,
15,-120.553483,35.184752,Alban Vineyards,8575 Orcutt Road,,,Arroyo Grande,CA,93420-6942,,,,,
16,-121.181484,38.930596,PaZa Wines,3357 Ayres Holmes Road,,,Auburn,CA,95602,,,,pa-za.vnw@sbcglobal.net,
17,-121.125174,38.989519,Fawnridge Winery,5560 Fawnridge Road,,,Auburn,CA,95602,,,,,
18,-121.135109,38.959238,Vina Castellano,590 Bell Road,,,Auburn,CA,95602,,,,teena@vinacastellano.com,
19,-121.109931,38.920473,Fortezza Winery,10555 Harris Road,,,Auburn,CA,95603,,,,,
20,-121.104392,38.916686,Mt Vernon Winery,10850 Mount Vernon Road,,,Auburn,CA,95603,,,,,
21,-121.094881,38.848989,Lone Buffalo Vineyards,2682 Burgard Lane,,,Auburn,CA,95603,,,,lonebuffalovineyards@gmail.com,
22,-121.076125,38.891686,Bonitata Boutique Wine,291 Auburn Folson Road,,,Auburn,CA,95603,,,,info@bonitataboutiquewine.com,
23,-121.136574,38.93529,Green Family Winery,3420 Pine Ridge Lane ,,,Auburn,CA,95603,,,,,
24,-122.128905,38.080811,Benicia Cellars,4740 E Second St.,,,Benicia,CA,94510,,,,,
25,-120.27,34.594869,Lafond Winery and Vineyards,6855 Santa Rosa Road,,,Buellton,CA,93427,,,,,
